pathway_name,is_cancer_related
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,0
KEGG_CITRATE_CYCLE_TCA_CYCLE,0
KEGG_PENTOSE_PHOSPHATE_PATHWAY,0
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,0
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,0
KEGG_GALACTOSE_METABOLISM,0
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM,0
KEGG_FATTY_ACID_METABOLISM,0
KEGG_STEROID_BIOSYNTHESIS,0
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS,0
KEGG_STEROID_HORMONE_BIOSYNTHESIS,0
KEGG_OXIDATIVE_PHOSPHORYLATION,0
KEGG_PURINE_METABOLISM,0
KEGG_PYRIMIDINE_METABOLISM,0
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,0
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM,0
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM,0
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION,0
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS,0
KEGG_LYSINE_DEGRADATION,0
KEGG_ARGININE_AND_PROLINE_METABOLISM,0
KEGG_HISTIDINE_METABOLISM,0
KEGG_TYROSINE_METABOLISM,0
KEGG_PHENYLALANINE_METABOLISM,0
KEGG_TRYPTOPHAN_METABOLISM,0
KEGG_BETA_ALANINE_METABOLISM,0
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM,0
KEGG_SELENOAMINO_ACID_METABOLISM,0
KEGG_GLUTATHIONE_METABOLISM,0
KEGG_STARCH_AND_SUCROSE_METABOLISM,0
KEGG_N_GLYCAN_BIOSYNTHESIS,0
KEGG_OTHER_GLYCAN_DEGRADATION,0
KEGG_O_GLYCAN_BIOSYNTHESIS,0
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION,0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE,0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE,0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE,0
KEGG_GLYCEROLIPID_METABOLISM,0
KEGG_INOSITOL_PHOSPHATE_METABOLISM,0
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS,0
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM,0
KEGG_ETHER_LIPID_METABOLISM,0
KEGG_ARACHIDONIC_ACID_METABOLISM,0
KEGG_LINOLEIC_ACID_METABOLISM,0
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM,0
KEGG_SPHINGOLIPID_METABOLISM,0
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES,0
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES,0
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES,0
KEGG_PYRUVATE_METABOLISM,0
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,0
KEGG_PROPANOATE_METABOLISM,0
KEGG_BUTANOATE_METABOLISM,0
KEGG_ONE_CARBON_POOL_BY_FOLATE,0
KEGG_RIBOFLAVIN_METABOLISM,0
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM,0
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS,0
KEGG_FOLATE_BIOSYNTHESIS,0
KEGG_RETINOL_METABOLISM,0
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,0
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS,0
KEGG_LIMONENE_AND_PINENE_DEGRADATION,0
KEGG_NITROGEN_METABOLISM,0
KEGG_SULFUR_METABOLISM,0
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS,0
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,0
KEGG_DRUG_METABOLISM_CYTOCHROME_P450,0
KEGG_DRUG_METABOLISM_OTHER_ENZYMES,0
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,0
KEGG_ABC_TRANSPORTERS,0
KEGG_RIBOSOME,0
KEGG_RNA_DEGRADATION,1
KEGG_RNA_POLYMERASE,1
KEGG_BASAL_TRANSCRIPTION_FACTORS,1
KEGG_DNA_REPLICATION,1
KEGG_SPLICEOSOME,0
KEGG_PROTEASOME,0
KEGG_PROTEIN_EXPORT,0
KEGG_PPAR_SIGNALING_PATHWAY,0
KEGG_BASE_EXCISION_REPAIR,1
KEGG_NUCLEOTIDE_EXCISION_REPAIR,1
KEGG_MISMATCH_REPAIR,1
KEGG_HOMOLOGOUS_RECOMBINATION,0
KEGG_NON_HOMOLOGOUS_END_JOINING,0
KEGG_MAPK_SIGNALING_PATHWAY,1
KEGG_ERBB_SIGNALING_PATHWAY,1
KEGG_CALCIUM_SIGNALING_PATHWAY,0
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,0
KEGG_CHEMOKINE_SIGNALING_PATHWAY,0
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM,0
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION,0
KEGG_CELL_CYCLE,1
KEGG_OOCYTE_MEIOSIS,0
KEGG_P53_SIGNALING_PATHWAY,1
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS,0
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT,0
KEGG_REGULATION_OF_AUTOPHAGY,1
KEGG_LYSOSOME,0
KEGG_ENDOCYTOSIS,0
KEGG_PEROXISOME,0
KEGG_MTOR_SIGNALING_PATHWAY,1
KEGG_APOPTOSIS,1
KEGG_CARDIAC_MUSCLE_CONTRACTION,0
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION,0
KEGG_WNT_SIGNALING_PATHWAY,1
KEGG_DORSO_VENTRAL_AXIS_FORMATION,0
KEGG_NOTCH_SIGNALING_PATHWAY,0
KEGG_HEDGEHOG_SIGNALING_PATHWAY,1
KEGG_TGF_BETA_SIGNALING_PATHWAY,1
KEGG_AXON_GUIDANCE,0
KEGG_VEGF_SIGNALING_PATHWAY,1
KEGG_FOCAL_ADHESION,0
KEGG_ECM_RECEPTOR_INTERACTION,0
KEGG_CELL_ADHESION_MOLECULES_CAMS,0
KEGG_ADHERENS_JUNCTION,0
KEGG_TIGHT_JUNCTION,0
KEGG_GAP_JUNCTION,0
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES,0
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,0
KEGG_RENIN_ANGIOTENSIN_SYSTEM,0
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,0
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,0
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY,0
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY,0
KEGG_JAK_STAT_SIGNALING_PATHWAY,1
KEGG_HEMATOPOIETIC_CELL_LINEAGE,0
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,0
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,0
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,0
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY,0
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,0
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,0
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,0
KEGG_CIRCADIAN_RHYTHM_MAMMAL,0
KEGG_LONG_TERM_POTENTIATION,0
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,0
KEGG_LONG_TERM_DEPRESSION,0
KEGG_OLFACTORY_TRANSDUCTION,0
KEGG_TASTE_TRANSDUCTION,0
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,0
KEGG_INSULIN_SIGNALING_PATHWAY,0
KEGG_GNRH_SIGNALING_PATHWAY,0
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION,0
KEGG_MELANOGENESIS,0
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,0
KEGG_TYPE_II_DIABETES_MELLITUS,0
KEGG_TYPE_I_DIABETES_MELLITUS,0
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG,0
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,0
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION,0
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION,0
KEGG_ALZHEIMERS_DISEASE,0
KEGG_PARKINSONS_DISEASE,0
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS,0
KEGG_HUNTINGTONS_DISEASE,0
KEGG_PRION_DISEASES,0
KEGG_VIBRIO_CHOLERAE_INFECTION,0
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION,0
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,0
KEGG_LEISHMANIA_INFECTION,0
KEGG_PATHWAYS_IN_CANCER,1
KEGG_COLORECTAL_CANCER,1
KEGG_RENAL_CELL_CARCINOMA,1
KEGG_PANCREATIC_CANCER,1
KEGG_ENDOMETRIAL_CANCER,1
KEGG_GLIOMA,1
KEGG_PROSTATE_CANCER,1
KEGG_THYROID_CANCER,1
KEGG_BASAL_CELL_CARCINOMA,1
KEGG_MELANOMA,1
KEGG_BLADDER_CANCER,1
KEGG_CHRONIC_MYELOID_LEUKEMIA,1
KEGG_ACUTE_MYELOID_LEUKEMIA,1
KEGG_SMALL_CELL_LUNG_CANCER,1
KEGG_NON_SMALL_CELL_LUNG_CANCER,1
KEGG_ASTHMA,0
KEGG_AUTOIMMUNE_THYROID_DISEASE,0
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,0
KEGG_ALLOGRAFT_REJECTION,0
KEGG_GRAFT_VERSUS_HOST_DISEASE,0
KEGG_PRIMARY_IMMUNODEFICIENCY,0
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM,0
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,0
KEGG_DILATED_CARDIOMYOPATHY,0
KEGG_VIRAL_MYOCARDITIS,0